customer_id,first_name,last_name,email,signup_date,segment,country
1,Donald,Garcia,,2025-10-07,vip,Mayotte
2,Jeffery,Wagner,garzaanthony@example.org,2023-08-17,regular,Congo
3,Lisa,Smith,lrobinson@example.com,2025-12-18,regular,Qatar
4,Susan,Rogers,,2023-10-28,regular,Bhutan
5,Jessica,Herrera,melanie94@example.org,2026-06-19,regular,Honduras
6,Nicole,Ward,arnoldmaria@example.net,2024-02-14,wholesale,Bangladesh
7,Melissa,Delacruz,stanleykendra@example.org,2024-09-07,wholesale,Korea
8,Joseph,Zuniga,francisco53@example.net,2025-06-28,regular,New Caledonia
9,Noah,Mayo,amandasanchez@example.com,2025-06-19,regular,Moldova
10,Jeremy,Johnson,gabriellecameron@example.org,2024-06-28,regular,Ethiopia
11,Leonard,Rios,clarksherri@example.net,2024-09-24,vip,United States Virgin Islands
12,Julie,Ryan,ithomas@example.org,2025-10-14,wholesale,Japan
13,Trevor,Campos,icox@example.net,2026-02-16,vip,Cape Verde
14,Paul,Carlson,  LAURAHENDERSON@EXAMPLE.ORG ,2024-12-12,wholesale,El Salvador
15,Karen,Mack,frazierdanny@example.net,2024-07-25,wholesale,French Polynesia
16,Nancy,Baker,amoore@example.net,2025-01-17,wholesale,Christmas Island
17,William,Gonzalez,harrellkenneth@example.net,2024-08-31,regular,Central African Republic
18,Sarah,Koch,georgetracy@example.org,2026-01-15,vip,Gambia
19,Christopher,Tucker,brianhumphrey@example.org,2023-10-02,vip,Senegal
20,Frederick,Rose,davidalvarez@example.net,2025-05-13,wholesale,Croatia
21,Debra,Kim,jenniferross@example.net,2025-02-05,wholesale,British Indian Ocean Territory (Chagos Archipelago)
22,Angela,Chapman,  JEFFREYMORGAN@EXAMPLE.NET ,2023-07-26,wholesale,Russian Federation
23,Chad,Young,perezrebecca@example.com,2025-07-21,vip,Croatia
24,Thomas,Mueller,jenniferkhan@example.net,2025-12-20,wholesale,Comoros
25,Robert,Shields,davisryan@example.com,2023-09-16,regular,Palau
26,John,Lee,,2024-11-21,vip,Jamaica
27,Scott,Callahan,joshuawright@example.org,2025-03-13,wholesale,Australia
28,Gabriel,Tucker,novaksara@example.org,2024-03-09,wholesale,Iran
29,Joseph,Bowers,martinaaron@example.com,2024-11-28,wholesale,Jamaica
30,Tanya,Riley,smoore@example.org,2025-03-04,regular,San Marino
31,Samantha,Schmidt,brian97@example.net,2023-09-19,wholesale,Malawi
32,Emma,Young,yorkcasey@example.org,2023-11-27,vip,Tuvalu
33,Robert,Silva,bethwilliams@example.org,2025-02-10,regular,Vietnam
34,Randy,Powers,james53@example.com,2024-06-11,regular,Germany
35,Wendy,Jones,smithchristine@example.net,2024-03-08,regular,Estonia
36,Mike,Moore,sarahibarra@example.org,2026-01-17,regular,Romania
37,Lisa,Evans,cheryl80@example.net,2025-07-15,vip,Wallis and Futuna
38,Angela,Nelson,josephpreston@example.net,2025-05-11,regular,Saint Barthelemy
39,John,Odonnell,james48@example.com,2023-09-12,wholesale,North Macedonia
40,Matthew,Anderson,ccalderon@example.org,2026-06-26,vip,Central African Republic
41,Alec,Jones,barnold@example.net,2026-03-12,vip,United Kingdom
42,Angela,Jordan,  AMYDAVENPORT@EXAMPLE.NET ,2023-09-02,wholesale,Haiti
43,Elizabeth,Gomez,nolanjason@example.org,2025-03-23,regular,Tunisia
44,Sara,Young,vdickson@example.org,2024-01-13,wholesale,South Georgia and the South Sandwich Islands
45,Sandra,Patton,nicolejohnson@example.net,2024-10-12,wholesale,Paraguay
46,Patrick,Williams,josephcobb@example.org,2024-12-15,regular,Cook Islands
47,Jeffrey,Keller,ybailey@example.org,2024-09-27,wholesale,Fiji
48,William,Frazier,rasmussenjoshua@example.net,2026-01-28,vip,Greenland
49,Beverly,Terrell,  WILSONTARA@EXAMPLE.ORG ,2023-08-29,vip,Nepal
50,Samuel,Joyce,yreed@example.com,2023-11-22,wholesale,United Arab Emirates
51,April,Drake,jonathanfletcher@example.org,2025-08-09,vip,Wallis and Futuna
52,Samantha,Hanson,michaeljones@example.net,2025-07-15,wholesale,British Virgin Islands
53,Heidi,Spencer,william65@example.com,2024-02-14,vip,Papua New Guinea
54,Ashley,Sullivan,lbyrd@example.net,2026-01-17,wholesale,Gabon
55,Marco,Ramos,jason99@example.net,2025-07-28,regular,Malawi
56,Gene,Miller,yleon@example.net,2025-02-02,wholesale,North Macedonia
57,Lindsay,Hernandez,clarence34@example.org,2023-09-07,wholesale,Lebanon
58,James,Horton,gibsonolivia@example.net,2025-01-10,wholesale,Ecuador
59,Kimberly,Robinson,dianasmith@example.org,2025-12-16,regular,Qatar
60,Stephen,Solis,pwilliams@example.org,2025-07-19,regular,Monaco
61,Patricia,Simmons,,2026-04-07,wholesale,Kiribati
62,Karen,Larsen,juliawells@example.com,2024-05-17,regular,Slovakia (Slovak Republic)
63,Chris,Mitchell,rsims@example.com,2024-05-11,regular,Ghana
64,Eric,Lewis,taylorjesse@example.net,2024-10-15,wholesale,Greenland
65,Perry,Carrillo,nperry@example.com,2026-05-20,wholesale,Angola
66,Karen,Castaneda,wwoods@example.com,2026-05-28,vip,Italy
67,Anthony,Rogers,tracynelson@example.com,2025-08-01,regular,Iraq
68,Amanda,Meadows,marycalhoun@example.net,2025-04-27,vip,Panama
69,Hunter,Green,millerroy@example.com,2024-07-11,wholesale,Korea
70,Johnny,Miller,matthew64@example.com,2023-08-09,regular,Mauritius
71,Casey,Bernard,cookemichael@example.net,2023-09-01,regular,Antarctica (the territory South of 60 deg S)
72,John,Wells,jamessmith@example.org,2023-11-21,vip,Yemen
73,Gary,Lawson,stevenscott@example.com,2025-10-15,vip,Brazil
74,Sarah,Johnston,tamirodriguez@example.org,2026-04-09,vip,Honduras
75,Brittany,Rivas,mdavid@example.org,2024-04-10,regular,Qatar
76,Kimberly,Reed,  MELISSA91@EXAMPLE.NET ,2024-10-30,regular,Heard Island and McDonald Islands
77,Lynn,Garcia,huntermatthew@example.com,2026-06-06,regular,North Macedonia
78,Jessica,Sheppard,bzimmerman@example.org,2024-05-10,regular,Sri Lanka
79,Joseph,Christian,umarshall@example.net,2026-01-14,regular,Benin
80,Cheryl,Gray,nicole37@example.net,2023-08-19,vip,Thailand
81,Matthew,Beard,hunter35@example.com,2025-08-25,vip,Falkland Islands (Malvinas)
82,Jennifer,Freeman,blackjames@example.org,2025-10-26,wholesale,Portugal
83,Laura,Davis,fbrewer@example.com,2024-03-17,regular,Puerto Rico
84,Angela,Cooper,kevinperkins@example.com,2026-07-15,wholesale,Mexico
85,John,Martinez,michael74@example.com,2024-02-15,vip,British Indian Ocean Territory (Chagos Archipelago)
86,Jenny,Bray,  JAMESRODGERS@EXAMPLE.COM ,2025-02-13,wholesale,Finland
87,Harry,Smith,wallkenneth@example.com,2025-02-23,regular,Falkland Islands (Malvinas)
88,Sherry,Little,mccannangela@example.net,2025-10-21,regular,Bosnia and Herzegovina
89,Matthew,Sheppard,  ANDREWSTAYLOR@EXAMPLE.COM ,2024-04-20,regular,Tokelau
90,Travis,Ray,ewilson@example.com,2025-08-09,wholesale,Canada
91,Victoria,Wilson,lisaavery@example.org,2025-11-02,wholesale,New Caledonia
92,Kenneth,Chapman,kimberlyjames@example.com,2024-10-30,wholesale,Montenegro
93,Colleen,Baker,lynchjody@example.org,2023-10-15,regular,Dominican Republic
94,Shannon,Wheeler,andreamoore@example.com,2024-06-02,vip,Djibouti
95,Jesus,Baker,jasmine71@example.net,2025-12-02,vip,Namibia
96,Edward,Baker,ronaldstephens@example.net,2023-12-21,regular,Bahamas
97,Samantha,Gonzales,  LAURALARSON@EXAMPLE.NET ,2024-12-13,wholesale,Gabon
98,Troy,Miller,gbender@example.net,2023-08-31,regular,Jersey
